player_fifa_api_id,player_name,birthday,height,weight
2,Giovanni Pasquale,1982-01-05 00:00:00,182.88,181
6,Alessio Scarpi,1973-04-19 00:00:00,187.96,183
11,Romain Rocchi,1981-10-02 00:00:00,182.88,165
16,Luis Garcia,1981-02-06 00:00:00,177.8,152
27,Joe Cole,1981-11-08 00:00:00,175.26,161
28,Manu Herrera,1981-09-29 00:00:00,182.88,165
41,Andres Iniesta,1984-05-11 00:00:00,170.18,150
58,Guy Demel,1981-06-13 00:00:00,187.96,194
61,David Odonkor,1984-02-21 00:00:00,172.72,163
80,Emre Belozoglu,1980-09-07 00:00:00,170.18,159
158,Michael Ball,1979-10-02 00:00:00,177.8,181
164,Giampiero Pinzi,1981-03-11 00:00:00,180.34,161
185,David James,1970-08-01 00:00:00,193.04,209
195,Robbie Fowler,1975-04-09 00:00:00,180.34,172
201,Hugo Leal,1980-05-21 00:00:00,180.34,165
241,Ryan Giggs,1973-11-29 00:00:00,177.8,157
244,Gary Neville,1975-02-18 00:00:00,177.8,174
245,Nicky Butt,1975-01-21 00:00:00,177.8,157
246,Paul Scholes,1974-11-16 00:00:00,170.18,157
249,Philip Neville,1977-01-21 00:00:00,180.34,168
250,David Beckham,1975-05-02 00:00:00,182.88,165
268,Francesco Arnau,1975-03-23 00:00:00,185.42,179
269,Nick Barmby,1974-02-11 00:00:00,170.18,157
330,Robbie Keane,1980-07-08 00:00:00,175.26,161
388,Sol Campbell,1974-09-18 00:00:00,187.96,190
450,Darius Vassell,1980-06-30 00:00:00,170.18,170
492,Jonathan Zebina,1978-07-19 00:00:00,187.96,190
496,Dietmar Hamann,1973-08-27 00:00:00,187.96,168
552,Frederic Kanoute,1977-09-02 00:00:00,193.04,181
560,Bernardo Corradi,1976-03-30 00:00:00,190.5,190
595,Christophe Landrin,1977-06-30 00:00:00,177.8,165
599,Joseph Desire Job,1977-12-01 00:00:00,177.8,165
603,Flavio Roma,1974-06-21 00:00:00,190.5,190
607,Clarke Carlisle,1979-10-14 00:00:00,190.5,174
614,Ousmane Dabo,1977-02-08 00:00:00,185.42,185
636,Dean Ashton,1983-11-24 00:00:00,185.42,172
642,Rob Hulse,1979-10-25 00:00:00,187.96,172
646,Salif Diao,1977-02-10 00:00:00,182.88,161
657,David Vaughan,1983-02-18 00:00:00,167.64,154
684,Mark Schwarzer,1972-10-06 00:00:00,193.04,209
694,Cyril Jeunechamp,1975-12-18 00:00:00,177.8,150
722,Michael Tarnat,1969-10-27 00:00:00,185.42,192
760,Cosmin Contra,1975-12-15 00:00:00,180.34,163
766,Nico van Kerckhoven,1970-12-14 00:00:00,190.5,183
768,Felipe,1984-07-31 00:00:00,187.96,165
805,Jens Lehmann,1969-11-10 00:00:00,190.5,192
806,Mathias Schober,1976-04-08 00:00:00,190.5,207
838,Barry Nicholson,1978-08-24 00:00:00,170.18,128
853,Christian Amoroso,1976-09-22 00:00:00,175.26,141
889,Jody Morris,1978-12-22 00:00:00,165.1,141
899,Frank Rost,1973-06-30 00:00:00,193.04,203
942,Christian Vieri,1973-07-12 00:00:00,185.42,181
953,Luigi Sala,1974-02-21 00:00:00,182.88,168
965,Nicola Ventola,1978-05-24 00:00:00,185.42,176
1041,Javier Zanetti,1973-08-10 00:00:00,177.8,165
1046,Jerome Rothen,1978-03-31 00:00:00,177.8,163
1075,Alessandro Del Piero,1974-11-09 00:00:00,175.26,163
1085,Giuseppe Favalli,1972-01-08 00:00:00,180.34,170
1088,Alessandro Nesta,1976-03-19 00:00:00,187.96,174
1099,Marco Di Vaio,1976-07-15 00:00:00,180.34,172
1102,Carlo Cudicini,1973-09-06 00:00:00,185.42,176
1109,Paolo Maldini,1968-06-26 00:00:00,185.42,187
1111,Christian Panucci,1973-04-12 00:00:00,182.88,161
1131,Roberto Fabian Ayala,1973-04-14 00:00:00,177.8,165
1173,Nicola Amoruso,1974-08-29 00:00:00,182.88,172
1175,Steve Finnan,1976-04-24 00:00:00,182.88,179
1177,Frank Fahrenhorst,1977-09-24 00:00:00,190.5,170
1178,Paolo Cannavaro,1981-06-26 00:00:00,185.42,183
1179,Gianluigi Buffon,1978-01-28 00:00:00,193.04,201
1183,Fabio Cannavaro,1973-09-13 00:00:00,175.26,165
1184,Marcello Castellini,1973-01-02 00:00:00,185.42,168
1198,Filippo Inzaghi,1973-08-09 00:00:00,180.34,163
1210,Massimo Donati,1981-03-26 00:00:00,187.96,174
1219,Christian Abbiati,1977-07-08 00:00:00,190.5,203
1221,Pedro Alves,1979-02-08 00:00:00,187.96,176
1222,Marco Paulo,1973-05-28 00:00:00,180.34,168
1229,Carlos Fernandes,1978-05-05 00:00:00,187.96,172
1235,Mancini,1980-08-01 00:00:00,182.88,172
1238,Francesco Totti,1976-09-27 00:00:00,180.34,181
1256,Clarence Seedorf,1976-04-01 00:00:00,177.8,176
1257,Claudio Bellucci,1975-05-31 00:00:00,172.72,154
1275,Francesco Cozza,1974-01-19 00:00:00,180.34,161
1277,Daniele Franceschini,1976-01-13 00:00:00,177.8,161
1283,Yildiray Basturk,1978-12-24 00:00:00,170.18,152
1289,Sebastian Frey,1980-03-18 00:00:00,190.5,198
1323,Aimo Stefano Diana,1978-01-02 00:00:00,175.26,163
1373,Cyril Rool,1975-04-15 00:00:00,175.26,159
1393,Erik Nevland,1977-11-10 00:00:00,177.8,154
1408,David Jemmali,1974-12-13 00:00:00,185.42,174
1412,Ryan Nelsen,1977-10-18 00:00:00,182.88,198
1419,Patrick Vieira,1976-06-23 00:00:00,193.04,181
1443,Yacine Abdessadki,1981-01-01 00:00:00,175.26,154
1479,Sebastian Schindzielorz,1979-01-21 00:00:00,180.34,163
1517,Pascal Cygan,1974-04-29 00:00:00,193.04,187
1518,Steven Milne,1980-05-05 00:00:00,170.18,146
1539,Matteo Ferrari,1979-12-05 00:00:00,187.96,185
1551,Ludovic Giuly,1976-07-10 00:00:00,165.1,137
1565,Maxence Flachez,1972-08-05 00:00:00,180.34,170
1595,Jeff Strasser,1974-10-05 00:00:00,190.5,181
1605,Robert Pires,1973-10-29 00:00:00,187.96,176
1611,Martin Stranzl,1980-06-16 00:00:00,190.5,183
1625,Thierry Henry,1977-08-17 00:00:00,187.96,183
1637,Alex Pinardi,1980-09-05 00:00:00,180.34,163
1647,Philippe Delaye,1975-06-26 00:00:00,175.26,146
1668,Claude Makelele,1973-02-18 00:00:00,175.26,154
1672,Frederic Da Rocha,1974-09-16 00:00:00,177.8,159
1677,Lionel Letizi,1973-05-28 00:00:00,187.96,176
1678,Mateja Kezman,1979-04-12 00:00:00,180.34,163
1731,Kevin Kilbane,1977-02-01 00:00:00,182.88,196
1737,Ulrich Le-Pen,1974-01-23 00:00:00,175.26,150
1742,Jean-Claude Darcheville,1975-07-25 00:00:00,172.72,172
1747,Gregory Coupet,1972-12-31 00:00:00,180.34,176
1777,Olivier Dacourt,1974-09-25 00:00:00,177.8,161
1803,Javier Saviola,1981-12-11 00:00:00,167.64,154
1860,Callum Davidson,1976-06-25 00:00:00,177.8,185
1880,Austin McCann,1980-01-21 00:00:00,180.34,181
1889,Craig Easton,1979-02-26 00:00:00,177.8,157
1983,Stephane Grichting,1979-03-30 00:00:00,185.42,176
2002,Stephen Hughes,1982-11-14 00:00:00,180.34,132
